id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-19_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011914,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516370404000,15.646612
2018-01-19_0600_US_KTLA_KTLA_5_News_at_10_main,2018011906,KTLA KTLA 5 News at 10,KTLA,1516341601000,11.063826
2018-01-19_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011906,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516341601000,11.063826
2018-01-19_0200_US_KABC_Eyewitness_News_6PM_main,2018011902,KABC Eyewitness News 6PM,KABC,1516327202000,11.063826
2018-01-18_1900_US_KNBC_NBC_4_News_at_11am_main,2018011819,KNBC NBC 4 News at 11am,KNBC,1516302001000,19.163107
2018-01-18_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011814,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516284002000,24.739466
2018-01-18_1230_US_KNBC_Today_in_LA_main,2018011812,KNBC Today in LA,KNBC,1516278601000,22.127651
2018-01-18_1000_US_MSNBC_First_Look_main,2018011810,MSNBC First Look,MSNBC,1516269602000,19.163107
2018-01-18_0730_US_KMEX_Noticiero_Univisión_Edición_Nocturna_main,2018011807,KMEX Noticiero Univisión Edición Nocturna,KMEX,1516260601000,15.646612
2018-01-18_0700_US_KCBS_CBS_2_News_at_11PM_main,2018011807,KCBS CBS 2 News at 11PM,KCBS,1516258802000,27.100729
2018-01-18_0700_US_KABC_Eyewitness_News_11PM_main,2018011807,KABC Eyewitness News 11PM,KABC,1516258802000,19.163107
2018-01-18_0700_US_KNBC_NBC_4_News_at_11pm_main,2018011807,KNBC NBC 4 News at 11pm,KNBC,1516258801000,22.127651
2018-01-18_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011806,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516255201000,19.163107
2018-01-18_0600_US_KTLA_KTLA_5_News_at_10_main,2018011806,KTLA KTLA 5 News at 10,KTLA,1516255201000,15.646612
2018-01-18_0200_US_KCBS_CBS_2_News_at_6PM_main,2018011802,KCBS CBS 2 News at 6PM,KCBS,1516240803000,24.739466
2018-01-18_0200_US_KABC_Eyewitness_News_6PM_main,2018011802,KABC Eyewitness News 6PM,KABC,1516240803000,11.063826
2018-01-18_0200_US_KNBC_NBC_4_News_at_6pm_main,2018011802,KNBC NBC 4 News at 6pm,KNBC,1516240801000,15.646612
2018-01-18_0100_US_KABC_Eyewitness_News_5PM_main,2018011801,KABC Eyewitness News 5PM,KABC,1516237201000,15.646612
2018-01-18_0000_US_KNBC_NBC_4_News_at_4pm_main,2018011800,KNBC NBC 4 News at 4pm,KNBC,1516233602000,15.646612
2018-01-18_0000_US_KABC_Eyewitness_News_4PM_main,2018011800,KABC Eyewitness News 4PM,KABC,1516233601000,15.646612
2018-01-17_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011714,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516197601000,19.163107
2018-01-17_1200_US_KNBC_Today_in_LA_main,2018011712,KNBC Today in LA,KNBC,1516190402000,15.646612
2018-01-17_0700_US_KNBC_NBC_4_News_at_11pm_main,2018011707,KNBC NBC 4 News at 11pm,KNBC,1516172402000,15.646612
2018-01-17_0700_US_KABC_Eyewitness_News_11PM_main,2018011707,KABC Eyewitness News 11PM,KABC,1516172401000,15.646612
2018-01-17_0700_US_KCBS_CBS_2_News_at_11PM_main,2018011707,KCBS CBS 2 News at 11PM,KCBS,1516172401000,15.646612
2018-01-17_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011706,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516168801000,22.127651
2018-01-17_0600_US_KTLA_KTLA_5_News_at_10_main,2018011706,KTLA KTLA 5 News at 10,KTLA,1516168801000,15.646612
2018-01-17_0400_US_WKYC_Channel_3_News_at_11_main,2018011704,WKYC Channel 3 News at 11,WKYC,1516161601000,11.063826
2018-01-17_0200_US_KCBS_CBS_2_News_at_6PM_main,2018011702,KCBS CBS 2 News at 6PM,KCBS,1516154403000,22.127651
2018-01-17_0200_US_KABC_Eyewitness_News_6PM_main,2018011702,KABC Eyewitness News 6PM,KABC,1516154403000,19.163107
2018-01-17_0200_US_KNBC_NBC_4_News_at_6pm_main,2018011702,KNBC NBC 4 News at 6pm,KNBC,1516154402000,11.063826
2018-01-17_0100_US_KABC_Eyewitness_News_5PM_main,2018011701,KABC Eyewitness News 5PM,KABC,1516150805000,19.163107
