TOP|20110129140000|2011-01-29_1400_RU_WWW_Russia_Today
COL|Communication Studies Archive, UCLA
UID|a86ef1ae-c7b7-11e0-957f-001fc65c7848
DUR|0:32:00.80
VID|448x336
CMT|
LAN|ENG
LBT|2011-01-29 17:00 Europe/Moscow
20110129141443.333|20110129141446.667|TR0|CHARLIE ROSE: YOU HAVING A
20110129141446.667|20110129141450.000|TR0|GLOBAL MEDIA ENTERPRISE. HAVE
20110129141450.000|20110129141455.000|TR0|YOU SHAPED THAT AGENDA AT ALL? -
20110129141455.000|20110129141500.000|TR0|MURDOCH: I DONT THINK SO. I
20110129141500.000|20110129141503.333|TR0|MEAN, WE TRIED!
20110129141503.333|20110129141506.667|TR0|
20110129141506.667|20110129141510.000|TR0|MURDOCH STANDS OVER FOX NEWS
20110129141510.000|20110129141515.000|TR0|CHANNEL, THE WALL STREET
20110129141515.000|20110129141520.000|TR0|JOURNAL, AND THE NEW YORK POST.
20110129141520.000|20110129141523.333|TR0|
20110129141523.333|20110129141526.667|TR0|THE FOX NEWS CHANNEL IS
20110129141526.667|20110129141530.000|TR0|DEFINITELY SEEN AS THE MOST
20110129141530.000|20110129141535.000|TR0|PARTISAN AND THE MOST  FOCUSED
20110129141535.000|20110129141540.000|TR0|ON ADVANCING A PARTICULAR
20110129141540.000|20110129141543.333|TR0|POLITICAL PARTY AND A POLITICAL
20110129141543.333|20110129141546.667|TR0|INTEREST. - IS THIS BECAUSE OF
20110129141546.667|20110129141550.000|TR0|RUPERT MURDOCHS PERSONAL
20110129141550.000|20110129141555.000|TR0|INTERESTS? - DEFINITELY. THERE
20110129141555.000|20110129141600.000|TR0|IS NO DOUBT ABOUT IT!
20110129141600.000|20110129141603.333|TR0|
20110129141603.333|20110129141606.667|TR0|GENERAL ELECTRIC - ONE OF THE
20110129141606.667|20110129141610.000|TR0|LARGEST MILITARY CONTRACTORS FOR
20110129141610.000|20110129141615.000|TR0|THE U.S. GOVERNMENT, PLUS
20110129141615.000|20110129141620.000|TR0|COMCAST - ONE OF AMERICAS
20110129141620.000|20110129141623.333|TR0|LARGEST CABLE PROVIDERS - ARE
20110129141623.333|20110129141626.667|TR0|JOINED BY THE HIP RUNNING THE
20110129141626.667|20110129141630.000|TR0|NBC NETWORK
20110129141630.000|20110129141635.000|TR0|
20110129141635.000|20110129141640.000|TR0|THE FLOOR OF THE HUDSON RIVER
20110129141640.000|20110129141643.333|TR0|IS COVERED IN CARCENOGENIC PSBs
20110129141643.333|20110129141646.667|TR0|- THESE TOXOGENIC DANGEROUS
20110129141646.667|20110129141650.000|TR0|CHEMICALS, THAT WERE PUT THERE
20110129141650.000|20110129141655.000|TR0|BY GENERAL ELECRIC.  GENERAL
20110129141655.000|20110129141700.000|TR0|ELECTRIC OWNS NBC. NBC HAS NOT
20110129141700.000|20110129141703.333|TR0|TAKEN ANY TROUBLE TO REPORT ON
20110129141703.333|20110129141706.667|TR0|THIS MASSIVE ENVIRONMENTAL
20110129141706.667|20110129141710.000|TR0|STORY.
20110129141710.000|20110129141713.333|TR0|
20110129141713.333|20110129141716.667|TR0|LOC:
20110129141716.667|20110129141720.000|TR0|
20110129141720.000|20110129141725.000|TR0|WITH THE INNOCENT FACE OF MICKEY
20110129141725.000|20110129141730.000|TR0|MOUSE AS THEIR TRADEMARK, DISNEY
20110129141730.000|20110129141733.333|TR0|IS THE PROUD OWNER OF ABC.
20110129141733.333|20110129141736.667|TR0|
20110129141736.667|20110129141740.000|TR0|WHEN ABC WAS BOUGHT BY DISNEY
20110129141740.000|20110129141745.000|TR0|AND THERE WERE SOME ABC STORIES
20110129141745.000|20110129141750.000|TR0|ABOUT IMPROPRIETIES AT DISNEY
20110129141750.000|20110129141753.333|TR0|LAND AND DISNEY WORLD, AND
20110129141753.333|20110129141756.667|TR0|DISNEY KILLED THOSE.
20110129141756.667|20110129141800.000|TR0|
20110129141800.000|20110129141805.000|TR0|CNN AND TIME MAGAZINE BELONG TO
20110129141805.000|20110129141810.000|TR0|TIME WARNER.
20110129141810.000|20110129141813.333|TR0|
20110129141813.333|20110129141816.667|TR0|JOINING THE MEDIA GIANTS, ARE
20110129141816.667|20110129141820.000|TR0|CBS CORPORATION TOWERING OVER
20110129141820.000|20110129141825.000|TR0|CBS NEWS, AND VIACOM - A GLOBAL
20110129141825.000|20110129141830.000|TR0|ENTERTAINMENT CONTENT COMPANY -
20110129141830.000|20110129141833.333|TR0|RUNNING, AMONG OTHERS, COMEDY
20110129141833.333|20110129141836.667|TR0|CENTRAL.
20110129141836.667|20110129141840.000|TR0|
20110129141840.000|20110129141845.000|TR0|THEY ARE SUPPOSED TO AFFLICT THE
20110129141845.000|20110129141850.000|TR0|COMFORTABLE AND COMFORT THE
20110129141850.000|20110129141853.333|TR0|AFFLICTED, BUT WHEN YOU HAVE
20110129141853.333|20110129141856.667|TR0|JOURNALISTS TREADING LIGHTLY
20110129141856.667|20110129141900.000|TR0|AROUND CORPORATE AND GOVERNMENT
20110129141900.000|20110129141905.000|TR0|ELITES, IT ALMOST DEFEATS THE
20110129141905.000|20110129141910.000|TR0|PURPOSE OF THEIR EVEN EXISTING.
20110129141910.000|20110129141913.333|TR0|
20110129141913.333|20110129141916.667|TR0|THE PURPOSE OF EXISTANCE FOR
20110129141916.667|20110129141920.000|TR0|CORPORATIONS IS PROFIT. MEANING
20110129141920.000|20110129141925.000|TR0|- INVESTORS INTERESTS ARE PLACED
20110129141925.000|20110129141930.000|TR0|AHEAD OF ANYTHING ELSE THAT
20110129141930.000|20110129141933.333|TR0|WOULD MATTER IN JOURNALISM.
20110129141933.333|20110129141936.667|TR0|
20110129141936.667|20110129141940.000|TR0|GOOD BUSINESS IS BAD
20110129141940.000|20110129141945.000|TR0|JOURNALISM. GOOD JOURNALISM IS
20110129141945.000|20110129141950.000|TR0|BAD BUSINESS.
20110129141950.000|20110129141953.333|TR0|
20110129141953.333|20110129141956.667|TR0|BROADCASTER LAURA FLANDERS SAYS
20110129141956.667|20110129142000.000|TR0|COUNTING ON GETTING FACTS FROM
20110129142000.000|20110129142003.333|TR0|THE CORPORATE MEDIA IS SIMPLY
20110129142003.333|20110129142006.667|TR0|NAIVE.
20110129142006.667|20110129142010.000|TR0|
20110129142010.000|20110129142015.000|TR0|WE CANT BE RELIANT ON MILITARY
20110129142015.000|20110129142020.000|TR0|CONTRACTORS GE TO BRING US OUR
20110129142020.000|20110129142023.333|TR0|NEWS ABOUT THE WAR. ANY MORE
20110129142023.333|20110129142026.667|TR0|THAN WE CAN BE RELIANT UPON
20110129142026.667|20110129142030.000|TR0|TELEVISION NETWORKS THAT ARE RUN
20110129142030.000|20110129142035.000|TR0|BY DISNEY TO BRING US THE TRUTH
20110129142035.000|20110129142040.000|TR0|ABOUT WHATS HAPPENING IN OUR
20110129142040.000|20110129142043.333|TR0|ECONOMY.
20110129142043.333|20110129142046.667|TR0|
20110129142046.667|20110129142050.000|TR0|PTC: AS MEDIA IS INCREASINGLY
20110129142050.000|20110129142055.000|TR0|MONOPOLIZED THE NUMBER OF VOICES
20110129142055.000|20110129142100.000|TR0|INTERESTED IN BRINGING U.S .
20110129142100.000|20110129142103.333|TR0|VIEWERS A LITTLE SOMETHING
20110129142103.333|20110129142106.667|TR0|CALLED TRUTH HAS DECREASED. AS
20110129142106.667|20110129142110.000|TR0|A RESULT, INSTEAD OF BRINGING
20110129142110.000|20110129142115.000|TR0|JOURNALISM TO THEIR VIEWERS
20110129142115.000|20110129142120.000|TR0|MEDIA HAVE TURNED INTO LOUD
20110129142120.000|20110129142123.333|TR0|MOUTHPIECES FOR CORPORATIONS.
20110129142123.333|20110129142126.667|TR0|
20110129142126.667|20110129142130.000|TR0|ANASTASIA CHURKINA, RT, NEW YORK.
20110129142130.000|20110129142135.000|TR0|
20110129142135.000|20110129142140.000|TR0|[[IV]]
20110129142140.000|20110129142143.333|TR0|
20110129142143.333|20110129142146.667|TR0|Well, as more Americans turn to
20110129142146.667|20110129142150.000|TR0|alternative news sources, it's
20110129142150.000|20110129142155.000|TR0|websites and blogs that are
20110129142155.000|20110129142200.000|TR0|increasingly filling the void.
20110129142200.000|20110129142203.333|TR0|
20110129142203.333|20110129142206.667|TR0|But radio host Alex Jones says
20110129142206.667|20110129142210.000|TR0|the Internet is also in danger
20110129142210.000|20110129142215.000|TR0|of becoming manipulated by big
20110129142215.000|20110129142220.000|TR0|business.
20110129142220.000|20110129142223.333|TR0|
20110129142223.333|20110129142226.667|TR0|[[GRAB]]
20110129142226.667|20110129142230.000|TR0|
20110129142230.000|20110129142235.000|TR0|[[IV]]
20110129142235.000|20110129142240.000|TR0|
20110129142240.000|20110129142243.333|TR0|The deputy governor of
20110129142243.333|20110129142246.667|TR0|Afghanistan's Kandahar province
20110129142246.667|20110129142250.000|TR0|has been killed in an attack
20110129142250.000|20110129142255.000|TR0|while he was on his way to work.
20110129142255.000|20110129142300.000|TR0|
20110129142300.000|20110129142303.333|TR0|A suicide bomber on a motorcycle
20110129142303.333|20110129142306.667|TR0|rammed into the official's car,
20110129142306.667|20110129142310.000|TR0|with the Taliban claiming
20110129142310.000|20110129142313.333|TR0|responsibility.
20110129142313.333|20110129142316.667|TR0|
20110129142316.667|20110129142320.000|TR0|[[VO]]
20110129142320.000|20110129142325.000|TR0|
20110129142325.000|20110129142330.000|TR0|The blast killed Abdul Latif
20110129142330.000|20110129142333.333|TR0|Ashna on the spot, while three
20110129142333.333|20110129142336.667|TR0|of his bodyguards were wounded.
20110129142336.667|20110129142340.000|TR0|
20110129142340.000|20110129142345.000|TR0|On Friday, at least nine people
20110129142345.000|20110129142350.000|TR0|were killed in a bomb blast in
20110129142350.000|20110129142353.333|TR0|the capital Kabul.
20110129142353.333|20110129142356.667|TR0|
20110129142356.667|20110129142400.000|TR0|A recent U.S. intelligence
20110129142400.000|20110129142405.000|TR0|report paints a rosy picture of
20110129142405.000|20110129142410.000|TR0|the war, claiming it will
20110129142410.000|20110129142413.333|TR0|eventually be won.
20110129142413.333|20110129142416.667|TR0|
20110129142416.667|20110129142420.000|TR0|But RT's military contributor
20110129142420.000|20110129142425.000|TR0|says that's not going to happen
20110129142425.000|20110129142430.000|TR0|unless Washington changes its
20110129142430.000|20110129142433.333|TR0|approach to beating the
20110129142433.333|20110129142436.667|TR0|Taliban...
20110129142436.667|20110129142440.000|TR0|
20110129142440.000|20110129142445.000|TR0|[[GRAB]]
20110129142445.000|20110129142450.000|TR0|
20110129142450.000|20110129142453.333|TR0|[[I/V]]
20110129142453.333|20110129142456.667|TR0|
20110129142456.667|20110129142500.000|TR0|Don't forget, you can get the
20110129142500.000|20110129142505.000|TR0|latest on all our stories on our
20110129142505.000|20110129142510.000|TR0|website - that's RT dot COM.
20110129142510.000|20110129142513.333|TR0|
20110129142513.333|20110129142516.667|TR0|Let's take a look at what's
20110129142516.667|20110129142520.000|TR0|online right now.
20110129142520.000|20110129142525.000|TR0|
20110129142525.000|20110129142530.000|TR0|[[TEASER]]
20110129142530.000|20110129142533.333|TR0|
20110129142533.333|20110129142536.667|TR0|The Russian President has signed
20110129142536.667|20110129142540.000|TR0|the ratification document on a
20110129142540.000|20110129142545.000|TR0|new arms reduction treaty with
20110129142545.000|20110129142550.000|TR0|the US.  Get all the analysis
20110129142550.000|20110129142553.333|TR0|and reaction to what it means
20110129142553.333|20110129142556.667|TR0|for global security.
20110129142556.667|20110129142600.000|TR0|
20110129142600.000|20110129142603.333|TR0|And...
20110129142603.333|20110129142606.667|TR0|
20110129142606.667|20110129142610.000|TR0|The world-famous Bolshoi Theater
20110129142610.000|20110129142615.000|TR0|takes London by storm - its
20110129142615.000|20110129142620.000|TR0|danced its way to three top
20110129142620.000|20110129142623.333|TR0|awards from British critics.
20110129142623.333|20110129142626.667|TR0|
20110129142626.667|20110129142630.000|TR0|The full story and much more is
20110129142630.000|20110129142635.000|TR0|at RT dot COM.
20110129142635.000|20110129142640.000|TR0|
20110129142640.000|20110129142643.333|TR0|[[IV]]
20110129142643.333|20110129142646.667|TR0|
20110129142646.667|20110129142650.000|TR0|A quick look at other news
20110129142650.000|20110129142655.000|TR0|making headlines around the
20110129142655.000|20110129142700.000|TR0|world...
20110129142700.000|20110129142703.333|TR0|
20110129142703.333|20110129142706.667|TR0|[[VO]]
20110129142706.667|20110129142710.000|TR0|
20110129142710.000|20110129142715.000|TR0|5 people have been killed by a
20110129142715.000|20110129142720.000|TR0|blast in a busy tunnel in
20110129142720.000|20110129142723.333|TR0|northwest Pakistan.
20110129142723.333|20110129142726.667|TR0|
20110129142726.667|20110129142730.000|TR0|19 others were injured - most of
20110129142730.000|20110129142735.000|TR0|them were taken to a nearby
20110129142735.000|20110129142740.000|TR0|hospital in Peshawar.
20110129142740.000|20110129142743.333|TR0|
20110129142743.333|20110129142746.667|TR0|The region has seen numerous
20110129142746.667|20110129142750.000|TR0|bombings over the past few years.
20110129142750.000|20110129142755.000|TR0|
20110129142755.000|20110129142800.000|TR0|It's believed the Taliban or
20110129142800.000|20110129142803.333|TR0|Al-Qaeda militants are behind
20110129142803.333|20110129142806.667|TR0|the attacks.
20110129142806.667|20110129142810.000|TR0|
20110129142810.000|20110129142815.000|TR0|The African Union is
20110129142815.000|20110129142820.000|TR0|commissioning a panel that it
20110129142820.000|20110129142823.333|TR0|says will resolve Ivory Coast's
20110129142823.333|20110129142826.667|TR0|leadership dispute within a
20110129142826.667|20110129142830.000|TR0|month.
20110129142830.000|20110129142835.000|TR0|
20110129142835.000|20110129142840.000|TR0|Incumbent leader Laurent Gbagbo
20110129142840.000|20110129142843.333|TR0|is refusing to step down though
20110129142843.333|20110129142846.667|TR0|his opponent, Alassane Ouattara,
20110129142846.667|20110129142850.000|TR0|is internationally recognised as
20110129142850.000|20110129142853.333|TR0|the winner of November's
